Job Title,Company Name,Location,Job Type,Level,Years of Experience,Skills,Country
Operations Analyst,Zeed Fleet ,"New Cairo, Cairo, Egypt","Full Time, On-site",Entry Level, 0 - 2 Yrs of Exp,"· Logistics/Supply Chain, · Operations/Management, · Operational Analysis, · Problem Solving, Data Interpretation, · Time Management, · Attention to Detail, · Microsoft Excel, · Project Coordination",Egypt
Investment Analyst,Mobica,"Abu Rawash, Giza, Egypt","Full Time, On-site",N/A, 4 - 6 Yrs of Exp,"Manager, · Accounting/Finance, · Analyst/Research, · Financial Analysis, · Analysis, · Return on Investment, · Mathematical Economics, · Financial Services, Financial Data Analysis, · Finance Analysis, · Financial Accounting",Egypt
Supply Chain Analyst,RISEUP (Endemag for Administrative Skills Development),"New Cairo, Cairo, Egypt","Full Time, On-site",N/A, 2 - 5 Yrs of Exp,"Experienced, · Logistics/Supply Chain, · Operations/Management, · Purchasing/Procurement, · Supply Chain Analysis, Data Analytics, · Inventory Management, · Logistics Coordination, · ERP Systems, · Process Improvement, · Forecasting",Egypt
Payroll And HR Analyst,Shiny White Dental Center ,"Cairo, Egypt","Full Time, On-site",N/A, 3+ Yrs of Exp,"Experienced, · Human Resources, · Analyst/Research, · Human Resources, · Human Resource Management (HRM), · HR Policies, · Payroll Administration, · Payroll, · Human Resource Management, · Human Resource Information System, hr analyst",Egypt
Procurement Analyst,Guillam,"San Stefano, Alexandria, Egypt","Full Time, On-site",N/A, 0 - 3 Yrs of Exp,"Experienced, · Accounting/Finance, · Operations/Management, · Business English, · Strong communication skills, · Microsoft Office",Egypt
Forecast & Planning(F&P) Analyst,Leap Development Hub,"New Cairo, Cairo, Egypt","Full Time, On-site",N/A, 2 - 4 Yrs of Exp,"Experienced, · Accounting/Finance, · Finance, · Accounting, · Economic Statistics, · Financial Analysis, · Cost Control, · Budgeting, · Microsoft Excel, · Reporting Analysis",Egypt
Q.C Senior Finished Product Analyst,APEX Pharma,"Badr City, Cairo, Egypt","Full Time, On-site",N/A, 4 - 5 Yrs of Exp,"Experienced, · R&D/Science, · Quality, · Pharmaceutical, · Quality Control, · Science, · Pharmaceutical, · Pharma, · Q.C, · Pharmaceuticals, · Pharmacy",Egypt
Junior Industrial Application Support Analyst (Outsource),Prometeon tyres group – Egypt,"Ameria, Alexandria, Egypt","Full Time, On-site",Entry Level, 0 - 2 Yrs of Exp,"· IT/Software Development, · Application Support, · Technical Troubleshooting, · Industrial Systems, · Problem Solving, · Communication, · IT Helpdesk, · Team Collaboration, · Process Documentation, · System Monitoring",Egypt
Supply Chain Financial Analyst,Beyti an Almarai Subsidiary ,"Alexandria, Egypt","Full Time, On-site",Entry Level, 1 - 3 Yrs of Exp,"· Accounting/Finance, · Logistics/Supply Chain, · Finance, · Manufacturing, · Supply Chain, · Supply Chain finance, · Financial Planning",Egypt
Quality Assurance Analyst,Daam ,"Maadi, Cairo, Egypt","Full Time, On-site",N/A, 2 - 3 Yrs of Exp,"Experienced, · IT/Software Development, · Quality, · Engineering - Telecom/Technology, · Computer Science, · Information Technology (IT), · DevOps, · Software Testing, · Manual Testing",Egypt
Technical Quality Assurance Analyst,Daam ,"Maadi, Cairo, Egypt","Full Time, On-site",N/A, 3 - 5 Yrs of Exp,"Experienced, · IT/Software Development, · Engineering - Telecom/Technology, · Quality Assurance, · Information Technology (IT), · PostgreSQL, · MySQL",Egypt
Financial Analyst,Transmar International ,"New Cairo, Cairo, Egypt","Full Time, On-site",Entry Level, 1 - 4 Yrs of Exp,"· Accounting/Finance, · Analyst/Research, · Budgeting and Forecasting, · Financial Analysis, · Microsoft Excel, · Financial Reporting",Egypt
Senior Financial Analyst,Confidential,"10th of Ramadan City, Sharqia, Egypt","Full Time, On-site",N/A, 10 - 15 Yrs of Exp,"Experienced, · Accounting/Finance, · Analyst/Research, · Financial Analysis, · Budgeting and Forecasting, Data Interpretation, · Financial Modeling, · Advanced Excel, · Report Preparation",Egypt
